时间,分类,图题,图文,标题,地图,作者,来源,经度,纬度,所在府县
1802,城市地图,,楷书,《崇明县城图》,,,《直隶太仓州志》,121.390,31.620,崇明县
1803,区域地图,,楷书,《山阴县分境图（一）》,,,《山阴县志》（民国铅印本）,120.580,30.002,山阴县
1803,城市地图,楷书,楷书,《山阴县旧城图》,,,《山阴县志》（民国铅印本）,120.580,30.002,山阴县
1807,区域地图,楷书,楷书,《舒城县境全图》,,,《舒城县志》,116.940,31.460,舒城县
1808,区域地图,,楷书,《东昌府各县疆域图（一）》,,,《东昌府志》,115.985,36.456,东昌府
1808,城市地图,楷书,楷书,《平阴县城图》,,,《平阴县城图》,116.450,36.280,平阴县
1808,区域地图,楷书,楷书,《禹城县疆界都里古迹图》,,,《禹城县志》,116.640,36.930,禹城县
1809,区域地图,楷书,楷书,《瑞安县境图》,,,《瑞安县志》,120.650,27.780,瑞安县
1809,区域地图,,楷书,《范县城图》,,,《范县志》（光绪三十三年石印本）,115.500,35.850,范县
1810,区域地图,楷书,楷书、行书,《太平县西北山图》,,,《太平县志》,118.000,30.290,太平县
1810,区域地图,楷书,楷书、行书,《太平县山总图》,,,《太平县志》,118.000,30.290,太平县
1810,城市地图,楷书,楷书,《东台县城池图》,,,《扬州府志》,120.320,32.840,东台县
1810,区域地图,楷书,楷书,《福建全省总图》,,,《南平县志》,118.170,26.630,福建省
1810,城市地图,楷书,楷书,《南平城池图》,,,《南平县志》,118.170,26.630,南平县
1810,区域地图,楷书,楷书,《南向分图》,,,《南平县志》,118.170,26.630,南平县
1811,区域地图,,楷书,《上虞县境图》,,,《上虞县志》,120.870,30.030,上虞县
1811,区域地图,楷书,楷书,《高淳县图》,,,《江宁府志》,118.890,31.320,高淳县
1811,城市地图,楷书,楷书,《江宁府城图》,,,《江宁府志》,118.796,32.060,江宁府
1813,区域地图,楷书,楷书,《高邮州境总图》,,,《高邮州志》,119.430,32.780,高邮州
1814,区域地图,,楷书,《滑县舆图》,,,,114.520,35.580,滑县
1815,区域地图,楷书,楷书,《宁国府六县分界之图》,,,《宁国府志》,118.750,30.950,宁国府
1816,城市地图,楷书,楷书,《云霄厅城池之图》,,,《云霄厅志》,117.330,23.950,云霄厅
1817,城市地图,楷书,楷书,《奉贤县城图》,,,《松江府志》,121.470,30.910,奉贤县
1817,城市地图,,楷书,《金山县治图》,,,《松江府志》,121.340,30.740,金山县
1817,城市地图,楷书,楷书,《青浦县城图》,,,《松江府志》,121.110,31.140,青浦县
1817,城市地图,,楷书,《川沙城图》,,,《松江府志》,121.700,31.190,川沙
1817,区域地图,楷书,楷书,《东台县四境图》,,,《东台县志》,120.320,32.840,东台县
1817,区域地图,楷书,楷书,《丁溪场图》,,,《东台县志》,120.320,32.840,东台县
1818,区域地图,,楷书,《晋阳乡图》,,,《东流县志》,116.980,30.090,东流县
1821,区域地图,,楷书,《怀庆府呈舆图》,,,,112.940,35.080,怀庆府
1821,区域地图,,楷书,《新疆全图》,,,,87.610,43.820,新疆
1822,区域地图,,楷书,《瑞金县境总图》,,,《瑞金县志》,116.020,25.880,瑞金县
1823,区域地图,楷书,楷书,《休宁县境图》,,,《休宁县志》,118.180,29.780,休宁县
1824,区域地图,,楷书,《信丰县境之图》,,,《信丰县志》,114.930,25.380,信丰县
1824,区域地图,,楷书,《石城县境图》,,,《宁都直隶州志》,116.340,26.320,石城县
1824,城市地图,楷书,楷书,《石城县城图》,,,《宁都直隶州志》,116.340,26.320,石城县
1824,区域地图,楷书,楷书,《苏州府九邑全图》,,,《苏州府志》,120.580,31.290,苏州府
1824,区域地图,楷书,楷书,《太湖全图》,,,《苏州府志》,120.580,31.290,太湖
1826,区域地图,行书,楷书,《乐清县境全图》,,,《乐清县志》,120.940,28.120,乐清县
1828,城市地图,,楷书,《嵊县城图》,,,《嵊县志》,120.821,29.588,嵊县
1828,区域地图,,楷书,《嵊县总图》,,,《嵊县志》,120.821,29.588,嵊县
1829,区域地图,楷书,楷书,《温州府图》,,,《大清一统志》,120.650,28.010,温州府
1829,区域地图,楷书,楷书,《台州府图》,,,《大清一统志》,121.144,28.880,台州府
1829,区域地图,楷书,楷书,《绍兴府图》,,,《大清一统志》,120.580,30.002,绍兴府
1829,区域地图,楷书,楷书,《宁波府图》,,,《大清一统志》,121.549,29.868,宁波府
1829,城市地图,楷书,楷书,《东阿县城图》,,,《东阿县志》,116.250,36.330,东阿县
1830,城市地图,,楷书,《来安县城图》,,,《来安县志》,118.430,32.450,来安县
1830,区域地图,,楷书,《永定县四境全图》,,,《永定县志》,116.730,24.720,永定县
1830,区域地图,楷书,楷书,《五里分图（金丰里）》,,,《永定县志》,116.730,24.720,永定县
1830,城市地图,,楷书,《城外图》,,,《永定县志》,116.730,24.720,永定县
1830,城市地图,楷书,楷书,《漳平县城图》,,,《漳平县志》,117.410,25.290,漳平县
1831,城市地图,,楷书,《博平县城宇图》,,,《博平县志》,116.210,36.580,博平县
1831,区域地图,隶书,楷书,《罗源县全图》,,,《罗源县志》,119.540,26.490,罗源县
1832,区域地图,楷书,楷书,《庆元县治图》,,,《中国古地图辑录 浙江省辑（下卷）》,119.050,27.610,庆元县
1832,区域地图,楷书,楷书,《象山县境图》,,,《象山县志》（民国四年重印本）,121.860,29.470,象山县
1833,区域地图,楷书,楷书,《章丘县周汉疆域图》,,,《章丘县志》,117.530,36.710,章丘县
1834,区域地图,,楷书,《沙县北乡地图（二）》,,,《沙县志》,117.790,26.390,沙县
