时间,分类,图题,图文,标题,地图,作者,来源,经度,纬度,所在府县
1839,区域地图,楷书,楷书,《蓬莱县城图》,,,《蓬莱县志》,120.760,37.810,蓬莱县
1839,区域地图,楷书,楷书,《文登县治图》,,,《文登县志》,122.050,37.190,文登县
1845,区域地图,楷书,楷书,《胶州广轮分率开方总图》,,,《重修胶州志》,120.000,36.280,胶州
1845,城市地图,楷书,楷书,《陵县城池图》,,,《陵县志》,116.570,37.330,陵县
1848,区域地图,,楷书,《缙云县志》,,,《中国古地图辑录 浙江省辑（下卷）》,120.050,28.650,缙云县
1848,城市地图,楷书,楷书,《武宁县城池图》,,,《武宁县志》,115.100,29.250,武宁县
1849,区域地图,楷书,楷书,《平度州关厢图》,,,《重修平度州志》,119.950,36.780,平度州
1852,区域地图,,楷书,《四境全图》,,,《重修兴化县志》,119.820,32.920,兴化县
1854,区域地图,楷书,楷书,《长汀县里至总图》,,,《长汀县志》,116.350,25.830,长汀县
1855,区域地图,楷书,楷书,《新疆总图》,,,,87.610,43.820,新疆
1859,区域地图,楷书,楷书,《武定府舆图》,,,《武定府志》,117.510,37.490,武定府
1860,区域地图,楷书,楷书,《万载县境图》,,,《袁州府志》,114.440,28.110,万载县
1863,区域地图,楷书,楷书,《云和县境全图》,,,《云和县志》,119.570,28.110,云和县
1864,区域地图,,楷书,《滕县境图》,,,《滕县志》,117.160,35.100,滕县
1864,区域地图,楷书,楷书,《宁海州境总图》,,,《宁海县志》,121.590,37.380,宁海州
1868,区域地图,楷书,楷书,《福建全图》,,,《福建通志》,119.300,26.080,福建省
1869,区域地图,,楷书,《长乐县方括图》,,,《长乐县志》,119.520,25.960,长乐县
1870,城市地图,楷书,楷书,《靖安县境全图》,,,《靖安县志》,115.360,28.860,靖安县
1870,区域地图,楷书,楷书,《新城县境图》,,,《新城县志》,116.140,27.280,新城县
1870,城市地图,楷书,楷书,《新城县城郭图》,,,《新城县志》,116.140,27.280,新城县
1870,城市地图,楷书,楷书,《乐平县城之图》,,,《乐平县志》,117.120,28.960,乐平县
1870,城市地图,楷书,楷书,《颍上县城之图》,,,《霍邱县志》,116.260,32.620,颍上县
1871,城市地图,楷书,楷书,《进贤县治图》,,,《进贤县志》,116.250,28.370,进贤县
1871,城市地图,楷书,楷书,《乐安县城图》,,,《乐安县志》,115.830,27.430,乐安县
1871,城市地图,楷书,楷书,《乐安县全县图》,,,《乐安县志》,115.830,27.430,乐安县
1871,区域地图,楷书,楷书,《乐安县上乡图》,,,《乐安县志》,115.830,27.430,乐安县
1871,区域地图,楷书,楷书,《乐安县下乡图》,,,《乐安县志》,115.830,27.430,乐安县
1871,区域地图,楷书,楷书,《高安县南北乡合图》,,,《高安县志》,115.370,28.410,高安县
1871,区域地图,,楷书,《分宜县舆地图》,,,《分宜县志》,114.680,27.810,分宜县
1871,区域地图,楷书,楷书,《临江合府疆域形势图》,,,《临江府志》,115.540,28.050,临江府
1871,城市地图,楷书,楷书,《府治城图》,,,《临江府志》,115.540,28.050,临江府
1871,区域地图,楷书,楷书,《清江县疆域形势图》,,,《临江府志》,115.540,28.050,清江县
1871,区域地图,楷书,楷书,《峡江县疆域形势图》,,,《临江府志》,115.140,27.570,峡江县
1871,城市地图,楷书,楷书,《峡江县治城图》,,,《临江府志》,115.140,27.570,峡江县
1871,区域地图,楷书,楷书,《弋阳县都鄙图》,,,《弋阳县志》,117.430,28.380,弋阳县
1871,区域地图,楷书,楷书,《弋阳县里东乡图》,,,《弋阳县志>》,117.430,28.380,弋阳县
1871,区域地图,楷书,楷书,《弋阳县下西乡图》,,,《弋阳县志》,117.430,28.380,弋阳县
1871,城市地图,楷书,楷书,《贵溪县城图》,,,《贵溪县志》,117.200,28.290,贵溪县
1871,区域地图,,楷书,《瑞昌县总图》,,,《瑞昌县志》,115.660,29.670,瑞昌县
1871,区域地图,,楷书,《星子县疆域图（一）》,,,《星子县志》,116.040,29.440,星子县
1871,区域地图,楷书,楷书,《安义县境全图》,,,《安义县志》,115.550,28.840,安义县
1871,区域地图,楷书,楷书,《淮盐产销图》,,,,119.010,33.610,淮安府
1871,区域地图,,楷书,《汜水县舆图》,,,,113.310,34.840,汜水县
1871,城市地图,楷书,楷书,《淡水厅治图》,,,《淡水厅志》,120.960,24.810,淡水厅
1871,区域地图,,楷书,《英山县境图》,,,《六安州志》,115.680,30.730,英山县
1872,区域地图,,楷书,《新昌县四境图》,,,《新昌县志》,120.900,29.490,新昌县
1872,区域地图,,楷书,《浮梁县图》,,,《饶州府志》,117.210,29.350,浮梁县
1872,区域地图,,楷书,《德兴县疆域之图》,,,《德兴县志》,117.570,28.940,德兴县
1872,城市地图,楷书,楷书,《都昌县城图》,,,《都昌县志》,116.200,29.270,都昌县
1872,区域地图,,楷书,《安福县境图》,,,《安福县志》,114.610,27.380,安福县
1872,区域地图,楷书,楷书,《南康县疆域图（一）》,,,《南康县志》,114.750,25.660,南康县
1872,城市地图,楷书,楷书,《赣州府城官廨全图》,,,《赣县志》,114.930,25.850,赣州府
1872,区域地图,楷书,楷书,《赣县全图》,,,《赣县志》,114.930,25.850,赣县
1872,区域地图,,楷书,《上海县浦西乡保图》,,,《上海县志》,121.470,31.230,上海县
1873,区域地图,楷书,楷书,《景宁县乡都总图》,,,《景宁县志》,119.630,27.970,景宁县
1873,城市地图,楷书,楷书,《南昌府治图》,,,《南昌府志》,115.890,28.680,南昌府
1873,区域地图,楷书,楷书,《丰城县治图》,,,《丰城县志》,115.780,28.190,丰城县
1873,区域地图,,楷书,《义宁州乡都总图》,,,《义宁州志》,114.540,29.020,义宁州
1873,区域地图,楷书,楷书,《铜鼓石图》,,,《南昌府志》,114.090,28.520,铜鼓石
1873,区域地图,楷书,楷书,《义宁州高乡图》,,,《义宁州志》,114.540,29.020,义宁州
1873,区域地图,楷书,楷书,《崇仁县青云乡图》,,,《崇仁县志》,116.050,27.760,崇仁县
1873,城市地图,楷书,楷书,《弋阳城图》,,,《广信府志》,117.430,28.380,弋阳县
1873,城市地图,楷书,楷书,《铅山县城图》,,,《铅山县志》,117.710,28.310,铅山县
1873,城市地图,隶书,楷书,《玉山县治图》,,,《玉山县志》,118.240,28.670,玉山县
1873,区域地图,楷书,楷书,《即墨县境图》,,,《即墨县志》,120.440,36.380,即墨县
1874,区域地图,,楷书,《德化县图》,,,《九江府志》,115.900,29.710,德化县
1874,城市地图,,楷书,《湖口县城全图》,,,《湖口县志》,116.260,29.730,湖口县
1874,区域地图,楷书,楷书,《永宁县全境图》,,,《永宁县志》,114.510,26.320,永宁县
1874,区域地图,楷书,楷书,《临邑县四境图》,,,《临邑县志》,116.860,37.190,临邑县
1875,区域地图,楷书,楷书,《松阳县境图》,,,《松阳县志》,119.480,28.450,松阳县
1875,区域地图,楷书,楷书,《青田县境全图》,,,《青田县志》,120.280,28.130,青田县
1875,区域地图,楷书,楷书,《萧县西南乡村寨图》,,,《续萧县志》,116.940,34.180,萧县
1876,区域地图,楷书,楷书,《缙云县境总图》,,,《缙云县志》,120.050,28.650,缙云县
1876,城市地图,楷书,楷书,《景定志抚州治图》,,,《抚州府志》,116.350,27.980,抚州府
1876,区域地图,楷书,楷书,《吉安府境驿递图》,,,《吉安府志》,114.980,27.110,吉安府
1876,城市地图,楷书,楷书,《庐陵县城图》,,,《吉安府志》,114.980,27.110,庐陵县
1876,城市地图,楷书,楷书,《吉水县城图》,,,《吉安府志》,115.130,27.210,吉水县
1876,城市地图,楷书,楷书,《泰和县城图》,,,《吉安府志》,114.900,26.790,泰和县
1876,城市地图,楷书,楷书,《安福县城图》,,,《吉安府志》,114.610,27.380,安福县
1876,城市地图,楷书,楷书,《永宁县城图》,,,《吉安府志》,114.510,26.320,永宁县
1876,城市地图,楷书,楷书,《龙南县城全图》,,,《龙南县志》,114.780,24.910,龙南县
1876,区域地图,楷书,楷书,《长宁县南厢图》,,,《长宁县志》,115.640,24.950,长宁县
1876,区域地图,楷书,楷书,《长宁县三标堡图》,,,《长宁县志》,115.640,24.950,长宁县
1877,区域地图,楷书,楷书,《庆元县一都图》,,,《庆元县志》,119.050,27.610,庆元县
1877,区域地图,楷书,楷书,《云和县境全图》,,,《处州府志》,119.570,28.110,云和县
1877,区域地图,楷书,楷书,《黄岩县成化以后县境图》,,,《黄岩县志》,121.250,28.640,黄岩县
1877,区域地图,楷书,楷书,《长泰县图》,,,《漳州府志》,117.750,24.620,长泰县
1877,区域地图,楷书,楷书,《南靖县图》,,,《漳州府志》,117.350,24.510,南靖县
1878,区域地图,,楷书,《地舆全图》,,,《分疆录》,116.400,39.900,北京市
1878,区域地图,楷书、篆书,楷书,《安徽全省图》,,,《重修安徽通志》,117.220,31.860,安徽省
1878,区域地图,篆书,楷书,《安庆府图》,,,《重修安徽通志》,117.040,30.510,安庆府
1878,区域地图,篆书,楷书,《凤阳府图》,,,《重修安徽通志》,117.550,32.860,凤阳府
1878,区域地图,,楷书,《六安州图》,,,《重修安徽通志》,116.500,31.750,六安州
1879,区域地图,楷书,楷书,《建昌府境总图》,,,《建昌府志》,116.640,27.550,建昌府
1879,区域地图,楷书,楷书,《南城县境图》,,,《建昌府志》,116.640,27.550,南城县
1879,城市地图,楷书,楷书,《广昌县城图》,,,《建昌府志》,116.320,26.830,广昌县
1879,区域地图,楷书,楷书,《宝庆志镇海县境图》,,,《镇海县志》,121.620,29.950,镇海县
1879,区域地图,楷书,楷书,《南丰县境图》,,,《建昌府志》,116.520,27.210,南丰县
1880,区域地图,楷书,楷书,《玉环山图》,,,《玉环厅志》,121.230,28.130,玉环厅
1880,区域地图,楷书,楷书,《菏泽县境古迹图》,,,《菏泽县志》,115.460,35.240,菏泽县
1881,区域地图,,楷书,《登州府图》,,,《增修登州府志》,120.760,37.810,登州府
1881,城市地图,楷书,楷书,《崇明县城图》,,,《直隶太仓州志》,121.390,31.620,崇明县
1881,城市地图,楷书,楷书,《万历志建平县治图》,,,《广德州志》,119.170,31.120,建平县
1882,区域地图,楷书,楷书,《永嘉县境总图》,,,《永嘉县志》,120.690,28.020,永嘉县
1882,区域地图,楷书,楷书,《永嘉县城池坊巷图》,,,《永嘉县志》,120.690,28.020,永嘉县
1882,区域地图,,楷书,《永嘉县境分图（二）》,,,《永嘉县志》,120.690,28.020,永嘉县
1882,区域地图,楷书,楷书,《宜兴县境图》,,,《常州府志》,119.820,31.360,宜兴县
1883,区域地图,楷书,楷书,《利津县境全图》,,,《利津县志》,118.250,37.490,利津县
1883,区域地图,楷书,楷书,《境内外山水总图》,,,《溧水县志》,119.020,31.650,溧水县
1883,城市地图,楷书,楷书,《江都甘泉县治图》,,,《江都县续志》,119.420,32.390,江都县
1883,区域地图,,楷书,《江都县四乡图（二）》,,,《江都县续志》,119.420,32.390,江都县
1884,区域地图,楷书,楷书,《定海厅洞隩庄图》,,,《定海厅志》,122.100,30.010,定海厅
1884,城市地图,楷书,楷书,《定海厅城池图》,,,《定海厅志》,122.100,30.010,定海厅
1884,区域地图,楷书,楷书,《淮安府四境图》,,,《淮安府志》,119.010,33.610,淮安府
1884,区域地图,楷书,楷书,《阜宁县图》,,,《淮安府志》,119.800,33.770,阜宁县
1884,区域地图,楷书,楷书,《临朐县疆域全图（一）》,,,《临朐县志》,118.540,36.510,临朐县
1885,区域地图,篆书,楷书,《庐州府境总图》,,,《续修庐州府志》,117.220,31.860,庐州府
1885,区域地图,,楷书,《合肥县图》,,,《续修庐州府志》,117.220,31.860,合肥县
1885,区域地图,篆书,楷书,《巢县全图》,,,《续修庐州府志》,117.870,31.600,巢县
1886,区域地图,楷书,楷书,《惠民县总图》,,,《惠民县志》,117.510,37.490,惠民县
1886,区域地图,楷书,楷书,《日照县疆域图》,,,《日照县志》,119.460,35.420,日照县
1886,区域地图,楷书,楷书,《日照县附城形胜图》,,,《日照县志》,119.460,35.420,日照县
1886,区域地图,楷书,楷书,《大庾县图》,,,《南安府志》,114.350,25.390,大庾县
1886,区域地图,楷书,楷书,《上犹县图》,,,《南安府志》,114.320,25.790,上犹县
1886,区域地图,楷书,楷书,《睢宁县山川集社全图》,,,《睢宁县志》,117.940,33.910,睢宁县
1886,区域地图,楷书,楷书,《睢宁县全境舆图》,,,《睢宁县志》,117.940,33.910,睢宁县
1886,区域地图,楷书,楷书,《常州府五县总图》,,,《常州府志》,119.970,31.810,常州府
1886,区域地图,楷书,楷书,《宜兴县境图》,,,《常州府志》,119.820,31.360,宜兴县
1886,城市地图,楷书,楷书,《江阴县城图》,,,《常州府志》,120.280,31.900,江阴县
1886,区域地图,楷书,楷书,《靖江县境图》,,,《常州府志》,120.270,32.010,靖江县
1888,区域地图,隶书,楷书,《滋阳县境界图》,,,《滋阳县志》,116.820,35.550,滋阳县
1888,区域地图,楷书,楷书,《赣榆县境总图》,,,《赣榆县志》,119.110,34.830,赣榆县
1888,区域地图,,楷书,《赣榆县南境分图（二）》,,,《赣榆县志》,119.110,34.830,赣榆县
1888,城市地图,楷书,楷书,《赣榆县城图》,,,《赣榆县志》,119.110,34.830,赣榆县
1889,区域地图,楷书,楷书,《鱼台县境图》,,,《鱼台县志》,116.600,35.010,鱼台县
1889,区域地图,,楷书,《宿州境图》,,,《宿州志》,116.980,33.630,宿州
1891,区域地图,,楷书,《沾化县舆地全图》,,,《沾化县志》,118.130,37.690,沾化县
1891,城市地图,楷书,楷书,《肥城县城图》,,,《肥城县志》,116.760,36.170,肥城县
1891,区域地图,,楷书,《青阳县图（三）》,,,《青阳县志》,117.840,30.630,青阳县
1893,城市地图,楷书,楷书,《德平县城池图》,,,《德平县志》,117.000,37.600,德平县
1893,区域地图,楷书,楷书,《郓城县境全图》,,,《郓城县志》,115.940,35.600,郓城县
1893,区域地图,楷书,楷书,《澎湖全图》,,,《澎湖厅志》,119.570,23.560,澎湖
1893,区域地图,楷书,楷书,《沿山形势图》,,,《苗栗县志》,120.810,24.550,苗栗县
1894,城市地图,楷书,楷书,《丰县城图》,,,《丰县志》,116.590,34.690,丰县
1894,区域地图,篆书,楷书,《亳州西北乡图》,,,《亳州志》,115.770,33.840,亳州
1895,区域地图,,楷书,《崇义县舆图》,,,《崇义县志》,114.300,25.680,崇义县
1896,区域地图,楷书,楷书,《遂昌县境图》,,,《遂昌县志》,119.270,28.590,遂昌县
1896,区域地图,楷书,楷书,《绍兴府图》,,,《浙江便览》,120.580,30.002,绍兴府
1896,区域地图,楷书,楷书,《宁波府图》,,,《浙江便览》,121.549,29.868,宁波府
1896,区域地图,楷书,楷书,《高密县城图》,,,《高密县志》,119.750,36.380,高密县
1897,区域地图,楷书,楷书,《西南境山川图》,,,《续修浦城县志》,118.530,27.910,浦城县
1899,区域地图,楷书,楷书,《余姚县境图》,,,《余姚县志》,121.150,30.040,余姚县
1899,区域地图,,楷书,《费县村社图》,,,《费县志》,117.970,35.260,费县
1900,区域地图,楷书,楷书,《开方疆舆图》,,,《寿张县志》,115.900,35.980,寿张县
1904,区域地图,,楷书,《峄境舆地全图（一）》,,,《峄县志》,117.550,34.770,峄县
1904,城市地图,楷书,楷书,《常昭县城图》,,,《重修常昭合志》,120.750,31.650,常昭县
1904,区域地图,楷书,楷书,《沙洲图》,,,《重修常昭合志》,120.750,31.650,沙洲
1905,城市地图,,楷书,《霍山县城池图》,,,《霍山县志》,116.330,31.390,霍山县
1905,区域地图,篆书,楷书,《霍山县分图》,,,《霍山县志》,116.330,31.390,霍山县
1905,区域地图,楷书,楷书,《福建全省总图》,,,《福建全省舆图》,119.300,26.080,福建省
1906,区域地图,楷书,楷书,《江宁府图》,,,《老地图|南京旧影》,118.796,32.060,江宁府
1907,区域地图,,楷书,《高唐州疆域图》,,,《高唐州志》,116.230,36.860,高唐州
1907,区域地图,,楷书,《益都县乐善乡图（三）》,,,《益都县图志》,118.480,36.680,益都县
1908,区域地图,隶书,楷书,《奉化县境图》,,,《奉化县志》,121.400,29.650,奉化县
1908,区域地图,,楷书,《嘉祥县总图》,,,《嘉祥县志》,116.340,35.400,嘉祥县
1908,区域地图,楷书,楷书,《凤阳府图》,,,《凤阳府志》,117.550,32.860,凤阳府
1909,区域地图,楷书,楷书,《恩县城厢详细全图》,,,《重修恩县志》,116.280,37.220,恩县
1910,区域地图,楷书,楷书,《皇清聊城县舆地全图（一）》,,,《聊城县志》,115.985,36.456,聊城县
1910,区域地图,楷书,楷书,《建德县上乡分图》,,,《建德县志》,119.280,29.470,建德县
1911,区域地图,,楷书,《山东全省图》,,,《山东通志》（民国四年刊本）,117.120,36.651,山东省
